Date;S&Pprice;;;;;;;
21-Nov-29;21.61;;;;;;;
22-Nov-29;21.53;;;;;;;
25-Nov-29;21.28;;;;;;;
26-Nov-29;20.66;;;;;;;
2-Dec-29;20.95;;;;;;;
4-Dec-29;22.05;;;;;;;
5-Dec-29;21.87;;;;;;;
6-Dec-29;22.45;;;;;;;
9-Dec-29;22.4;;;;;;;
10-Dec-29;22.57;;;;;;;
11-Dec-29;22.38;;;;;;;
12-Dec-29;21.17;;;;;;;
13-Dec-29;21.7;;;;;;;
17-Dec-29;21.56;;;;;;;
18-Dec-29;21.42;;;;;;;
19-Dec-29;20.85;;;;;;;
20-Dec-29;20.16;;;;;;;
23-Dec-29;20.26;;;;;;;
26-Dec-29;20.84;;;;;;;
27-Dec-29;20.82;;;;;;;
30-Dec-29;20.89;;;;;;;
31-Dec-29;21.45;;;;;;;
3-Jan-30;21.23;;;;;;;
6-Jan-30;21.5;;;;;;;
7-Jan-30;21.31;;;;;;;
8-Jan-30;21.29;;;;;;;
9-Jan-30;21.62;;;;;;;
10-Jan-30;21.55;;;;;;;
13-Jan-30;21.52;;;;;;;
22-Jan-30;21.63;;;;;;;
24-Jan-30;22.04;;;;;;;
27-Jan-30;22.21;;;;;;;
28-Jan-30;22.1;;;;;;;
29-Jan-30;22.35;;;;;;;
30-Jan-30;22.47;;;;;;;
31-Jan-30;22.79;;;;;;;
4-Feb-30;23.01;;;;;;;
5-Feb-30;23.31;;;;;;;
6-Feb-30;23.06;;;;;;;
7-Feb-30;22.97;;;;;;;
10-Feb-30;23.12;;;;;;;
11-Feb-30;23.32;;;;;;;
13-Feb-30;23.36;;;;;;;
14-Feb-30;23.35;;;;;;;
17-Feb-30;23.26;;;;;;;
18-Feb-30;23.28;;;;;;;
20-Feb-30;22.64;;;;;;;
21-Feb-30;22.92;;;;;;;
24-Feb-30;22.68;;;;;;;
25-Feb-30;22.89;;;;;;;
26-Feb-30;23.11;;;;;;;
27-Feb-30;23.08;;;;;;;
6-Mar-30;23.59;;;;;;;
10-Mar-30;23.67;;;;;;;
11-Mar-30;23.72;;;;;;;
12-Mar-30;23.46;;;;;;;
13-Mar-30;23.6;;;;;;;
14-Mar-30;23.45;;;;;;;
18-Mar-30;23.9;;;;;;;
19-Mar-30;24.03;;;;;;;
20-Mar-30;24.14;;;;;;;
21-Mar-30;24.29;;;;;;;
27-Mar-30;24.57;;;;;;;
1-Apr-30;25.37;;;;;;;
2-Apr-30;25.11;;;;;;;
3-Apr-30;25.16;;;;;;;
4-Apr-30;25.54;;;;;;;
7-Apr-30;25.6;;;;;;;
8-Apr-30;25.46;;;;;;;
9-Apr-30;25.87;;;;;;;
10-Apr-30;25.92;;;;;;;
16-Apr-30;25.56;;;;;;;
21-Apr-30;25.29;;;;;;;
22-Apr-30;25.5;;;;;;;
29-Apr-30;24.73;;;;;;;
30-Apr-30;24.9;;;;;;;
1-May-30;24.3;;;;;;;
6-May-30;23.76;;;;;;;
8-May-30;23.4;;;;;;;
9-May-30;23.69;;;;;;;
12-May-30;24.09;;;;;;;
13-May-30;24.42;;;;;;;
19-May-30;23.75;;;;;;;
20-May-30;23.86;;;;;;;
21-May-30;23.74;;;;;;;
22-May-30;23.79;;;;;;;
27-May-30;24.24;;;;;;;
29-May-30;24.49;;;;;;;
2-Jun-30;24.4;;;;;;;
3-Jun-30;24.18;;;;;;;
11-Jun-30;22.2;;;;;;;
12-Jun-30;22.13;;;;;;;
13-Jun-30;22.26;;;;;;;
16-Jun-30;20.56;;;;;;;
19-Jun-30;20.79;;;;;;;
20-Jun-30;20.25;;;;;;;
25-Jun-30;19.54;;;;;;;
27-Jun-30;19.81;;;;;;;
30-Jun-30;20.46;;;;;;;
8-Jul-30;19.97;;;;;;;
10-Jul-30;20.77;;;;;;;
11-Jul-30;20.55;;;;;;;
15-Jul-30;21.32;;;;;;;
16-Jul-30;21.48;;;;;;;
17-Jul-30;21.58;;;;;;;
18-Jul-30;21.77;;;;;;;
23-Jul-30;21.66;;;;;;;
24-Jul-30;21.38;;;;;;;
28-Jul-30;21.82;;;;;;;
31-Jul-30;21.21;;;;;;;
7-Aug-30;21.06;;;;;;;
11-Aug-30;20.4;;;;;;;
12-Aug-30;19.88;;;;;;;
13-Aug-30;20.15;;;;;;;
19-Aug-30;20.74;;;;;;;
21-Aug-30;20.64;;;;;;;
25-Aug-30;20.68;;;;;;;
26-Aug-30;20.98;;;;;;;
4-Sep-30;21.02;;;;;;;
5-Sep-30;21.34;;;;;;;
10-Sep-30;21.86;;;;;;;
22-Sep-30;20.17;;;;;;;
24-Sep-30;20.11;;;;;;;
29-Sep-30;18.88;;;;;;;
30-Sep-30;18.59;;;;;;;
2-Oct-30;19.18;;;;;;;
6-Oct-30;18.61;;;;;;;
7-Oct-30;18.62;;;;;;;
10-Oct-30;18.11;;;;;;;
14-Oct-30;17.91;;;;;;;
15-Oct-30;18.2;;;;;;;
16-Oct-30;17.88;;;;;;;
21-Oct-30;17.05;;;;;;;
22-Oct-30;16.9;;;;;;;
23-Oct-30;17.14;;;;;;;
24-Oct-30;17.74;;;;;;;
27-Oct-30;17.78;;;;;;;
28-Oct-30;17.86;;;;;;;
30-Oct-30;17.34;;;;;;;
31-Oct-30;16.94;;;;;;;
5-Nov-30;16.62;;;;;;;
6-Nov-30;16.65;;;;;;;
7-Nov-30;16.09;;;;;;;
10-Nov-30;15.54;;;;;;;
11-Nov-30;15.79;;;;;;;
12-Nov-30;16.14;;;;;;;
13-Nov-30;16.56;;;;;;;
14-Nov-30;16.89;;;;;;;
17-Nov-30;16.48;;;;;;;
18-Nov-30;16.66;;;;;;;
19-Nov-30;17.01;;;;;;;
21-Nov-30;17.2;;;;;;;
25-Nov-30;16.85;;;;;;;
26-Nov-30;16.61;;;;;;;
28-Nov-30;16.38;;;;;;;
1-Dec-30;16.8;;;;;;;
2-Dec-30;16.96;;;;;;;
3-Dec-30;16.67;;;;;;;
4-Dec-30;16.42;;;;;;;
5-Dec-30;16.43;;;;;;;
8-Dec-30;15.97;;;;;;;
9-Dec-30;15.98;;;;;;;
10-Dec-30;15.73;;;;;;;
11-Dec-30;15.55;;;;;;;
12-Dec-30;15.43;;;;;;;
15-Dec-30;14.94;;;;;;;
16-Dec-30;14.44;;;;;;;
17-Dec-30;15.11;;;;;;;
18-Dec-30;15.22;;;;;;;
19-Dec-30;15.39;;;;;;;
22-Dec-30;14.88;;;;;;;
23-Dec-30;14.96;;;;;;;
24-Dec-30;15.16;;;;;;;
26-Dec-30;14.85;;;;;;;
29-Dec-30;14.72;;;;;;;
30-Dec-30;15.06;;;;;;;
31-Dec-30;15.34;;;;;;;
2-Jan-31;15.85;;;;;;;
5-Jan-31;15.93;;;;;;;
6-Jan-31;16.13;;;;;;;
7-Jan-31;15.09;;;;;;;
8-Jan-31;16.23;;;;;;;
9-Jan-31;16.07;;;;;;;
12-Jan-31;15.84;;;;;;;
13-Jan-31;15.65;;;;;;;
14-Jan-31;15.83;;;;;;;
15-Jan-31;15.46;;;;;;;
20-Jan-31;15.78;;;;;;;
26-Jan-31;16.4;;;;;;;
27-Jan-31;16.32;;;;;;;
28-Jan-31;16.02;;;;;;;
29-Jan-31;16.17;;;;;;;
30-Jan-31;16.19;;;;;;;
2-Feb-31;16.16;;;;;;;
3-Feb-31;16.24;;;;;;;
4-Feb-31;16.33;;;;;;;
5-Feb-31;16.22;;;;;;;
6-Feb-31;16.27;;;;;;;
10-Feb-31;17.23;;;;;;;
11-Feb-31;17.28;;;;;;;
19-Feb-31;17.43;;;;;;;
24-Feb-31;18.17;;;;;;;
25-Feb-31;17.97;;;;;;;
27-Feb-31;18.03;;;;;;;
6-Mar-31;17.32;;;;;;;
16-Mar-31;17.77;;;;;;;
18-Mar-31;17.81;;;;;;;
19-Mar-31;18.01;;;;;;;
20-Mar-31;18.06;;;;;;;
27-Mar-31;17.21;;;;;;;
31-Mar-31;16.69;;;;;;;
1-Apr-31;16.52;;;;;;;
